Title,Published_date,Views,Comments,Month
L12. Print all Permutations of a String/Array | Recursion | Approach - 1,2021-03-08,258669,193,Mar
L18. K-th Permutation Sequence | Leetcode,2021-03-04,128912,254,Mar
L11. Subset Sum II | Leetcode | Recursion,2021-03-03,184422,288,Mar
Leaving FACEBOOK and AMAZON to do something you dream needs real COURAGE !!!,2021-02-28,10096,30,Feb
L10. Subset Sum I | Recursion | C++ | Java,2021-02-26,205397,232,Feb
L17. Palindrome Partitioning | Leetcode | Recursion | C++ | Java,2021-02-24,151793,176,Feb
L9. Combination Sum II | Leetcode | Recursion | Java | C++,2021-02-11,240224,362,Feb
L8. Combination Sum | Recursion | Leetcode | C++ | Java,2021-02-08,353674,435,Feb
Minimum Coins | Greedy Algorithms,2021-02-04,56649,133,Feb
Fractional Knapsack | Greedy Algorithms,2021-02-03,66357,90,Feb
WHAT HAPPENED TO ME and HOW AM I NOW ??????,2021-01-29,20892,152,Jan
Job Sequencing Problem | Greedy Algorithms,2021-01-18,103681,142,Jan
All Semester Roadmap !!,2021-01-16,37290,171,Jan
Minimum Platforms | Greedy Algorithms,2021-01-13,115406,251,Jan
N meetings In One Room | Greedy Algorithm,2021-01-03,134688,206,Jan
Max Consecutive Ones | Leetcode,2021-01-02,58825,52,Jan
Remove Duplicates From Sorted Array | Brute | Optimal,2021-01-01,101677,76,Jan
Trapping Rainwater | Brute | Better | Optimal | with INTUITION,2020-12-20,155480,250,Dec
3 SUM | Brute | Better | Optimal | C++ | Java,2020-12-17,215105,296,Dec
Clone a Linked List with next and random pointer | Linear Time and Constant Space Solution,2020-12-10,98964,167,Dec
Rotate a LinkedList | Adobe | Amazon | Microsoft | GS | MMT,2020-12-09,80866,97,Dec
Flattening of a Linked List | Amazon | Microsoft,2020-12-08,109435,221,Dec
"FIND THE STARTING POINT OF THE CYCLE | Knowing Algorithm is Okay, But Knowing The Intuition Matters",2020-11-25,80871,138,Nov
🔴 The Ultimate CP Sheet For Coding Rounds and Contests at Codeforces Codechef,2020-11-17,94547,456,Nov
Reverse Nodes in k-Group | Among the toughest problems of LinkedList,2020-11-11,148106,268,Nov
How To Make A Perfect Resume | For FAANG And Other Product Based Companies,2020-11-04,26547,117,Nov
Check for Palindromic Linked List | Snapdeal | Adobe | Amazon,2020-11-02,101017,126,Nov
Detect a Cycle in Linked List | Amazon | Samsung | Microsoft,2020-10-30,95243,112,Oct
Intersection point of two Linked Lists | Amazon | Microsoft | Brute | Better | Optimal1 | Optimal2,2020-10-29,117837,215,Oct
"An inspiring journey of a 6* Coder, Candidate Master, Incoming Intern at Amazon, Hackerearth Intern.",2020-10-23,61862,188,Oct
QnA Video(1) | Yeahhhhh we are 50000 strong !!,2020-10-16,23240,193,Oct
Add Two Numbers Given as LinkedLists | Amazon | Microsoft | Facebook | Qualcomm,2020-10-11,143582,214,Oct
Delete Node in a Linked List | Can you solve it ?,2020-10-11,72802,115,Oct
Remove Nth Node From End of Linked List | Amazon | Microsoft | Adobe,2020-10-11,134921,190,Oct
Merge Two Sorted Lists | Microsoft | Yahoo | Amazon,2020-10-11,149255,148,Oct
Middle of the Linked List | Amazon | Microsoft,2020-10-11,89162,130,Oct
Reverse a Linked List | Iterative,2020-10-11,235474,69,Oct
Let's give back to the community :),2020-10-07,136277,112,Oct
Longest Substring Without Repeating Characters | Amazon,2020-10-06,190054,205,Oct
Count Subarrays with Xor as K | This problem clears a lot of concepts,2020-10-01,107647,180,Oct
Largest Subarray with Zero Sum | Amazon | MMT,2020-09-30,135467,164,Sep
Longest Consecutive Sequence | Leetcode(Hard) | GooGLe,2020-09-29,131566,434,Sep
4SUM | GOOGLE | AMAZON,2020-09-16,158813,347,Sep
You Should Be Ashamed Of Yourselves !!,2020-09-06,159858,1013,Sep
Two Sum Problem | Leetcode's First Ever Problem,2020-09-04,363237,277,Sep
Reverse Pairs | Leetcode(HARD),2020-09-03,146641,242,Sep
Behind The Scenes Of Making My YouTube Videos,2020-09-02,23679,219,Sep
Grid Unique Paths | GOOGLE interview question | Brute-Better-Optimal,2020-09-02,123429,283,Sep
Majority Element II | GOOGLE Interview Question | Brute-Better-Optimal,2020-09-01,120747,303,Sep
Majority Element | Leetcode | C++ | Java | Brute-Better-Optimal | Moore's Voting Algorithm,2020-08-26,153552,421,Aug
"POW(x,n) | Binary Exponentiation | Leetcode",2020-08-25,126595,181,Aug
Search in 2D-MATRIX | Leetcode | GFG | C++ | Java | Brute-Better-Better-Optimal,2020-08-24,140151,333,Aug
ROTATE IMAGE | Leetcode | C++ | Java | Brute-Optimal,2020-08-21,133063,184,Aug
Best Time to BUY and SELL STOCK | Leetcode | C++ | Java | Brute-Optimal,2020-08-20,144952,212,Aug
COUNT INVERSIONS in an ARRAY | Leetcode | C++ | Java | Brute-Optimal,2020-08-19,221997,281,Aug
NEXT PERMUTATION | Leetcode | Know the Intuition behind the Algorithm | C++ | Java | Brute-Optimal,2020-08-18,308651,420,Aug
PASCAL Triangle | Leetcode | C++ | Java | 3 problems asked in Interviews related to Pascal discussed,2020-08-17,209024,192,Aug
From giving up Coding to getting an Internship offer at AMAZON in one year | Lets know the journey !,2020-08-12,47834,248,Aug
Set Matrix Zeros | Leetcode | C++ | Java | Brute-Better-Optimal,2020-08-07,296226,386,Aug
Merge Intervals | Leetcode | Problem-6 | Brute-Optimal | C++/Java,2020-08-05,216063,342,Aug
Maximum Subarray Sum | Leetcode | Kadane's Algorithm | Brute-Better-Optimal | CPP/Java,2020-08-03,266759,521,Aug
Merge two sorted arrays in O(1) space | GFG | C++ and Java | Brute-Better-Optimal,2020-08-01,295760,574,Aug
Find the Missing and Repeating Number | GFG | C++ and Java | Brute-Better-Optimal-Optimal,2020-07-31,219373,518,Jul
Sort an array of 0's 1's & 2's | Leetcode | C++ and Java | Brute-Better-Optimal,2020-07-30,285983,798,Jul
Find the duplicate number | Leetcode | C++ and Java | Brute-Better-Optimal,2020-07-29,434286,886,Jul
OLYMPICS of Programming || ICPC makes you standout in Interviews ??,2020-07-17,32715,160,Jul
Lazy Propagation in Segment Tree | Point and Range Updates | Live Coding,2020-07-11,28262,71,Jul
🔴 TCS CODEVITA 🔴 How to prepare yourself for Codevita | How will you get a job through Codevita?,2020-06-27,89756,361,Jun
"🔴 Companies that HIRE off-campus |  When to Apply ? | Salary that they offer.. | GIVEAWAY(Rs 50,000)",2020-06-22,111040,291,Jun
Segment Tree: Build and Query | Live Coding..,2020-06-15,62459,98,Jun
🔴 Python tricks for Competitive Programming,2020-06-14,38371,75,Jun
Thankyouuu for the love and 10000 subscribers in such a short span | Kuch bhi puchlooo aaj toh ;),2020-06-11,11400,44,Jun
🔴 Interviewing Sirjan who cracked India's TOUGHEST Interview | Lower volume to get better quality,2020-06-10,30667,42,Jun
🔴 Striver's SDE sheet | Take every concept from every problem in the sheet and be Placement Ready!,2020-06-08,455500,565,Jun
🔴 GUIDE for COMPETITIVE PROGRAMMING | RESOURCES | EXCEL YOURSELF,2020-06-01,140873,592,Jun
Codeforces Round #645 | Problem D | Binary Search + Prefix Sum,2020-05-26,8650,88,May
AtCoder Educational DP Contest | Problem C | WATCH TILL END,2020-05-25,8058,35,May
AtCoder Educational DP Contest | Problem B | Remove the fear of Dynamic Programming,2020-05-24,5005,45,May
Codeforces Education Round #87 | Multiset | Binary Lifting on Fenwick Tree Approach,2020-05-18,2856,13,May
Codeforces Education Round #87 | Multiset | Binary Search + Fenwick Tree Approach,2020-05-18,8152,36,May
Binary Lifting on Fenwick Tree Tutorial | Update and Query operations,2020-05-18,8856,9,May
Fenwick Tree Tutorial | Foolw-up problem from Codeforces | Check first comment before starting,2020-05-18,48667,71,May
How I bought MACBOOK without doing a job | How I paid college fees while studying | Fulfill Dreams,2020-05-17,135059,250,May
Codeforces Round #643 | Count Triangles,2020-05-16,8578,62,May
Codeforces Round #642 | Problem F | Decreasing Heights | Dynamic Programming,2020-05-15,3269,30,May
Codeforces Round #642 | Constructing the Array | Join telegram group from link in description,2020-05-14,4396,28,May
Codeforces Round #642 | Problem E | K-periodic Garland | Dynamic Programming,2020-05-14,7592,61,May
Codeforces Round #641 | Orac and Models | Dynamic Programming,2020-05-13,4958,19,May
Codeforces Round #641 | Orac and Medians | Problem D | Interesting Greedy Problem,2020-05-12,2533,16,May
Codeforces Round 641 | Orac and LCM | Maths,2020-05-12,8457,89,May
AtCoder Educational DP Contest | Problem A | Remove the fear of Dynamic Programming,2020-05-12,12882,67,May
Learn C++ STL in 45 minutes | Containers | Algorithms | Comparators | Competitive Programming,2020-05-10,145050,567,May
Binary Search with C++ STL | 4 Problems followed up | Lower Bound and Upper Bound explained,2020-05-08,100633,122,May
Codeforces Round 638 Division 2 | Phoenix and Science | Problem-D,2020-05-01,4203,43,May
Codeforces Round 638 | Phoenix and Distribution | Problem-C,2020-05-01,3724,63,May
Codeforces Round 638 Division 2 | Phoenix and Beauty | Problem-B,2020-05-01,5218,43,May
Coordinate Compression | A small but an useful trick to have in the armoury | Watch till end !!!,2020-04-27,11234,43,Apr
Codeforces Educational Round #86 | Yet Another Counting Problem | Watch till Code explanation,2020-04-26,9567,43,Apr
Roadmap to learn Data-Structures and Algorithms!! How to start competitive Programming??,2020-04-26,242423,492,Apr
Dynamic Programming + Path | Codeforces Round 637 | Nastya and Scoreboard,2020-04-23,7865,48,Apr
How to setup Sublime Text for Competitive Programming?,2020-04-22,157027,284,Apr
Codeforces Round 635 | Problem D | Greedy plus Binary Search solves it easily,2020-04-22,2266,14,Apr
Scanline Algorithm | Codeforces Round 636 | Constant Palindrome Sum | I say it prefix trick,2020-04-21,26673,129,Apr
Greedy fails but adding a small trick to Greedy works | Trees | Codeforces 635 - C,2020-04-19,4422,41,Apr
An Interesting Problem on Tree from Codeforces | Round 633 | Problem D,2020-04-18,5766,30,Apr
How to get an internship at Amazon | Internship Interview Experience | Where to prepare from,2020-04-09,127234,256,Apr
How to approach people at Linkedin | How to build connections | Whom to message for referrals,2020-04-04,30954,74,Apr
Experience with Scaler Academy | More insights in the Description !!,2020-04-01,157322,570,Apr
Longest Increasing Subsequence NlogN approach,2020-03-29,61953,139,Mar
Equal Average Partition Dynamic Programming,2020-03-23,19420,59,Mar
